"IMC_classif","obesid","excpeso","Capital","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Obesidade grau I","Sim","Sim","Rio Branco","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",11109.8576522316
"Eutrofia","Não","Sim","Manaus","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",20192.2090046586
"Abaixo do peso","Não","Não","Manaus","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",11129.7525473418
"Abaixo do peso","Não","Não","Boa Vista","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",15893.6705785092
"Abaixo do peso","Não","Não","São Luís","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",42947.6751308287
"Abaixo do peso","Não","Não","Porto Velho","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",12325.5812687727
"Abaixo do peso","Não","Não","Macapá","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",8709.11103661109
"Eutrofia","Não","Sim","Teresina","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",17266.4388566273
"Abaixo do peso","Não","Não","Teresina","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",4206.92609249615
"Abaixo do peso","Não","Não","Fortaleza","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",8066.64706551854
"Sobrepeso","Sim","Sim","Natal","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",16259.5409869159
"Eutrofia","Não","Sim","Fortaleza","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",3161.24647524604
"Eutrofia","Não","Sim","Natal","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",32624.0042245963
"Sobrepeso","Sim","Sim","Campo Grande","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",7453.92777447192
"Abaixo do peso","Não","Não","Brasília","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",23745.5509902806
"Abaixo do peso","Não","Não","Salvador","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",11110.7641085935
"Abaixo do peso","Não","Não","Florianópolis","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",5600.92850256406
