"IMC_classif","obesid","excpeso","Capital","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Abaixo do peso","Não","Não","Manaus","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",885.833288997762
"Abaixo do peso","Não","Não","Belém","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",952.896967883036
"Eutrofia","Não","Sim","Natal","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",949.414934181718
"Abaixo do peso","Não","Não","Maceió","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1811.88714860316
"Eutrofia","Não","Sim","Salvador","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2421.25635538482
"Eutrofia","Não","Sim","Manaus","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2538.7015573265
"Abaixo do peso","Não","Não","Manaus","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",478.850379772235
"Sobrepeso","Sim","Sim","Boa Vista","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",262.761968078109
"Abaixo do peso","Não","Não","São Luís","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",415.807539284981
"Eutrofia","Não","Sim","Maceió","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",817.766246994853
"Abaixo do peso","Não","Não","Maceió","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2035.98042287584
"Sobrepeso","Sim","Sim","Brasília","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1348.88398708808
"Eutrofia","Não","Sim","Porto Velho","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",415.538016182293
"Obesidade grau I","Sim","Sim","Rio Branco","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",271.778897184041
"Abaixo do peso","Não","Não","Rio Branco","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",396.033056715528
"Abaixo do peso","Não","Não","Macapá","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",799.169203363601
"Abaixo do peso","Não","Não","Palmas","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",249.372058937283
"Abaixo do peso","Não","Não","Fortaleza","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2219.43749100105
"Eutrofia","Não","Sim","João Pessoa","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",491.401971776403
"Eutrofia","Não","Sim","Maceió","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",841.854664285698
"Abaixo do peso","Não","Não","Maceió","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",834.196597016805
"Eutrofia","Não","Sim","Brasília","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",688.154663783846
"Abaixo do peso","Não","Não","Brasília","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1234.01030405767
"Abaixo do peso","Não","Não","Rio Branco","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",317.907454504731
"Eutrofia","Não","Sim","Manaus","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",7892.50702170594
"Sobrepeso","Sim","Sim","Boa Vista","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",203.902693925288
"Obesidade grau III","Sim","Sim","Boa Vista","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",182.032798307043
"Sobrepeso","Sim","Sim","Belém","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1654.91745201046
"Abaixo do peso","Não","Não","Belém","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3863.54280222506
"Eutrofia","Não","Sim","Macapá","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",372.367033519247
"Eutrofia","Não","Sim","Fortaleza","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2384.95665342679
"Abaixo do peso","Não","Não","Fortaleza","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2368.12374358487
"Abaixo do peso","Não","Não","Natal","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2019.91626081098
"Eutrofia","Não","Sim","João Pessoa","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",507.988007883265
"Abaixo do peso","Não","Não","João Pessoa","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",532.433440191428
"Sobrepeso","Sim","Sim","Maceió","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",954.452701185962
"Eutrofia","Não","Sim","Maceió","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1051.45929498797
"Abaixo do peso","Não","Não","Aracaju","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",791.391652154
"Sobrepeso","Sim","Sim","Salvador","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",210.200206041989
"Abaixo do peso","Não","Não","Belo Horizonte","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1360.60883725616
"Eutrofia","Não","Sim","São Paulo","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3442.94908304628
"Obesidade grau I","Sim","Sim","Brasília","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1161.54614894038
"Eutrofia","Não","Sim","Porto Velho","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",668.729236512595
"Eutrofia","Não","Sim","Rio Branco","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",524.441629641848
"Abaixo do peso","Não","Não","Rio Branco","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",260.741490432507
"Abaixo do peso","Não","Não","Manaus","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1016.60416237059
"Eutrofia","Não","Sim","Belém","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4161.0650343973
"Obesidade grau I","Sim","Sim","Macapá","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",390.108324123504
"Eutrofia","Não","Sim","Macapá","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1461.40756569434
"Abaixo do peso","Não","Não","Macapá","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",197.237237071846
"Eutrofia","Não","Sim","São Luís","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",745.715492996952
"Sobrepeso","Sim","Sim","Teresina","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",557.69422098802
"Abaixo do peso","Não","Não","Teresina","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",604.168739402609
"Abaixo do peso","Não","Não","Fortaleza","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2990.11847941072
"Eutrofia","Não","Sim","Natal","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",769.755119972906
"Eutrofia","Não","Sim","João Pessoa","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",993.154991359408
"Abaixo do peso","Não","Não","Recife","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2290.18175902656
"Eutrofia","Não","Sim","Maceió","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",644.435300413249
"Abaixo do peso","Não","Não","Salvador","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",758.550830109224
"Abaixo do peso","Não","Não","Belo Horizonte","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1743.22730171015
"Abaixo do peso","Não","Não","São Paulo","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3926.07547439228
"Abaixo do peso","Não","Não","Brasília","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",316.227321246913
"Abaixo do peso","Não","Não","Porto Velho","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",776.462678997071
"Eutrofia","Não","Não","Porto Velho","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",309.316112547875
"Obesidade grau I","Sim","Sim","Rio Branco","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",394.345616105224
"Abaixo do peso","Não","Não","Rio Branco","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",564.341121776208
"Eutrofia","Não","Sim","Manaus","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",943.531608962649
"Abaixo do peso","Não","Não","Manaus","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3066.98798535154
"Eutrofia","Não","Sim","Boa Vista","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",124.977707353706
"Abaixo do peso","Não","Não","Boa Vista","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",227.605416514493
"Abaixo do peso","Não","Não","Macapá","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",343.335742701899
"Eutrofia","Não","Sim","São Luís","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1514.71911103083
"Abaixo do peso","Não","Não","Teresina","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1679.50448373169
"Eutrofia","Não","Não","Fortaleza","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3291.59402785708
"Sobrepeso","Sim","Sim","Natal","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",476.245425947214
"Abaixo do peso","Não","Não","João Pessoa","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",869.01876968306
"Abaixo do peso","Não","Não","Recife","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1971.64448079979
"Abaixo do peso","Não","Não","Maceió","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",499.79048250481
"Abaixo do peso","Não","Não","Aracaju","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",721.567362662123
"Eutrofia","Não","Sim","Salvador","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1784.92105458611
"Abaixo do peso","Não","Não","Salvador","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3205.72241439785
"Sobrepeso","Sim","Sim","Rio de Janeiro","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1725.0849138433
"Eutrofia","Não","Sim","Rio de Janeiro","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1407.00516901567
"Abaixo do peso","Não","Não","Rio de Janeiro","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",11442.1785600197
"Abaixo do peso","Não","Não","São Paulo","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3694.55653665446
"Sobrepeso","Sim","Sim","Porto Velho","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",300.979912133826
"Sobrepeso","Sim","Sim","Manaus","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1067.9086655568
"Eutrofia","Não","Sim","Manaus","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1983.58772875667
"Abaixo do peso","Não","Não","Boa Vista","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",329.772848835444
"Sobrepeso","Sim","Sim","Macapá","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",213.066422130964
"Eutrofia","Não","Sim","Macapá","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",572.281680534412
"Eutrofia","Não","Sim","Palmas","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",267.830023195617
"Eutrofia","Não","Sim","Teresina","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",891.942486644304
"Eutrofia","Não","Sim","Fortaleza","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1645.79701392227
"Abaixo do peso","Não","Não","João Pessoa","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",662.914778692112
"Sobrepeso","Sim","Sim","Maceió","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",479.793974392386
"Eutrofia","Não","Sim","Maceió","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",921.597528020416
"Abaixo do peso","Não","Não","Aracaju","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",873.152414770332
"Sobrepeso","Sim","Sim","São Paulo","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3386.85490649226
"Sobrepeso","Sim","Sim","Porto Alegre","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1579.0916826549
"Eutrofia","Não","Sim","Porto Velho","75 anos ou mais","Até 1/2 SM","Urbano","Masculino","Sem instrução",522.058108044061
"Abaixo do peso","Não","Não","Belém","75 anos ou mais","Até 1/2 SM","Urbano","Masculino","Sem instrução",1171.34282489018
"Eutrofia","Não","Sim","Teresina","75 anos ou mais","Até 1/2 SM","Urbano","Masculino","Sem instrução",960.718950507854
"Abaixo do peso","Não","Não","Teresina","75 anos ou mais","Até 1/2 SM","Urbano","Masculino","Sem instrução",647.432311540945
"Eutrofia","Não","Sim","Fortaleza","75 anos ou mais","Até 1/2 SM","Urbano","Masculino","Sem instrução",922.585427823155
"Eutrofia","Não","Sim","Brasília","75 anos ou mais","Até 1/2 SM","Urbano","Masculino","Sem instrução",1381.50864169
"Abaixo do peso","Não","Não","Macapá","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",535.438185489294
"Abaixo do peso","Não","Não","São Luís","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",513.351348273597
"Eutrofia","Não","Sim","Teresina","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",747.170823077102
"Abaixo do peso","Não","Não","Teresina","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1053.44661708872
"Abaixo do peso","Não","Não","Natal","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1740.59404601117
"Abaixo do peso","Não","Não","Recife","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1688.24749549909
"Eutrofia","Não","Sim","Rio de Janeiro","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",4315.16726304082
"Sobrepeso","Sim","Sim","Florianópolis","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",441.25126904916
"Eutrofia","Não","Sim","Goiânia","18 a 24 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1054.59025377592
"Eutrofia","Não","Sim","Porto Velho","25 a 29 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",854.413890405291
"Abaixo do peso","Não","Não","Manaus","25 a 29 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1508.04872062859
"Eutrofia","Não","Sim","Belo Horizonte","25 a 29 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1176.58882533402
"Abaixo do peso","Não","Não","Belo Horizonte","25 a 29 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1328.18636021222
"Eutrofia","Não","Sim","Brasília","25 a 29 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",3956.14864063186
"Abaixo do peso","Não","Não","Porto Velho","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",524.377082093998
"Abaixo do peso","Não","Não","Rio Branco","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",714.731325788313
"Obesidade grau I","Sim","Sim","Macapá","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",426.979290684101
"Eutrofia","Não","Sim","Macapá","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",726.242651943662
"Sobrepeso","Sim","Sim","Palmas","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",315.983985191935
"Eutrofia","Não","Sim","Palmas","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",260.878478560964
"Eutrofia","Não","Sim","Maceió","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",903.712980108272
"Eutrofia","Não","Sim","Salvador","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2504.41475340824
"Eutrofia","Não","Sim","Vitória","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",332.884711948039
"Eutrofia","Não","Sim","São Paulo","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",4245.29032011514
"Sobrepeso","Sim","Sim","Goiânia","30 a 34 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1433.66226403884
"Sobrepeso","Não","Sim","Porto Velho","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",260.122261748955
"Abaixo do peso","Não","Não","Porto Velho","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",428.138454155039
"Eutrofia","Não","Não","Porto Velho","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",886.713844144339
"Sobrepeso","Sim","Sim","Rio Branco","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",271.778897184041
"Abaixo do peso","Não","Não","Manaus","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",875.361590984377
"Eutrofia","Não","Sim","Macapá","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",474.177775806897
"Abaixo do peso","Não","Não","Macapá","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",872.22311106025
"Eutrofia","Não","Sim","Palmas","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",416.16953953579
"Abaixo do peso","Não","Não","Palmas","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",341.796410934438
"Eutrofia","Não","Sim","São Luís","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1234.61036631666
"Abaixo do peso","Não","Não","Fortaleza","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2642.64730825888
"Eutrofia","Não","Sim","João Pessoa","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",554.619754414698
"Abaixo do peso","Não","Não","João Pessoa","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",649.75711430003
"Abaixo do peso","Não","Não","Recife","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1831.5644091575
"Obesidade grau I","Sim","Sim","Maceió","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2085.49149255009
"Eutrofia","Não","Sim","Maceió","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",429.084192601562
"Sobrepeso","Sim","Sim","Aracaju","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",786.149001984439
"Eutrofia","Não","Sim","Aracaju","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",790.761923376025
"Eutrofia","Não","Sim","Salvador","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2102.66733470424
"Eutrofia","Não","Sim","Belo Horizonte","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2972.84696499512
"Eutrofia","Não","Sim","São Paulo","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",4370.56428748695
"Abaixo do peso","Não","Não","Florianópolis","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",667.81029042698
"Eutrofia","Não","Sim","Porto Alegre","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",818.954111107399
"Abaixo do peso","Não","Não","Campo Grande","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",637.563282712501
"Sobrepeso","Sim","Sim","Cuiabá","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",880.32694399453
"Eutrofia","Não","Sim","Goiânia","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1507.52737367303
"Abaixo do peso","Não","Não","Goiânia","35 a 44 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",3616.69714591949
"Eutrofia","Não","Sim","Rio Branco","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",527.65916018897
"Abaixo do peso","Não","Não","Rio Branco","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",743.60706029876
"Eutrofia","Não","Sim","Manaus","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",521.264144629124
"Eutrofia","Não","Sim","Boa Vista","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",233.009461783931
"Eutrofia","Não","Sim","Belém","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2037.68539123769
"Abaixo do peso","Não","Não","Palmas","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2214.85209020445
"Sobrepeso","Sim","Sim","Teresina","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1607.13711809326
"Sobrepeso","Sim","Sim","Fortaleza","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",9517.80786183457
"Abaixo do peso","Não","Não","Fortaleza","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2976.22114926449
"Sobrepeso","Sim","Sim","Natal","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",482.1844123405
"Eutrofia","Não","Sim","Natal","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2346.89996865304
"Abaixo do peso","Não","Não","João Pessoa","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",480.979765022737
"Sobrepeso","Sim","Sim","Maceió","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",962.037015527423
"Eutrofia","Não","Sim","Maceió","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1229.25091869999
"Abaixo do peso","Não","Não","Maceió","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",511.473896380968
