"IMC_classif","obesid","excpeso","Unidades_da_Federacao","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Eutrofia","Não","Sim","Bahia","18 a 24 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",74797.5719998303
"Obesidade grau I","Sim","Sim","Acre","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",11109.8576522316
"Eutrofia","Não","Sim","Amazonas","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",20192.2090046586
"Abaixo do peso","Não","Não","Ceará","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",5576.91081956309
"Eutrofia","Não","Sim","Paraíba","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",49445.554373764
"Abaixo do peso","Não","Não","Acre","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",4834.32359716095
"Eutrofia","Não","Sim","Roraima","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",7323.06526983984
"Sobrepeso","Sim","Sim","Maranhão","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",5162.22911472912
"Eutrofia","Não","Sim","Maranhão","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",50836.6576195762
"Sobrepeso","Sim","Sim","Ceará","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",16978.3271630683
"Sobrepeso","Sim","Sim","Rio Grande do Norte","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",5006.85029651392
"Sobrepeso","Sim","Sim","Paraíba","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",43582.2062258186
"Abaixo do peso","Não","Não","Paraíba","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",21070.3955531184
"Eutrofia","Não","Sim","Pernambuco","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",14315.238913917
"Eutrofia","Não","Sim","Bahia","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",54159.4236342398
"Abaixo do peso","Não","Não","São Paulo","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Sem instrução",96948.8130584257
"Eutrofia","Não","Sim","Maranhão","60 anos ou mais","Até 1/2 SM","Urbano","Homem","Sem instrução",48678.1636321251
"Eutrofia","Não","Sim","Piauí","60 anos ou mais","Até 1/2 SM","Urbano","Homem","Sem instrução",22084.2162473043
"Sobrepeso","Não","Sim","Bahia","60 anos ou mais","Até 1/2 SM","Urbano","Homem","Sem instrução",14427.8051937732
"Abaixo do peso","Não","Não","Espírito Santo","60 anos ou mais","Até 1/2 SM","Urbano","Homem","Sem instrução",11187.1034030503
"Eutrofia","Não","Sim","São Paulo","60 anos ou mais","Até 1/2 SM","Urbano","Homem","Sem instrução",19746.4018187778
"Abaixo do peso","Não","Não","Amazonas","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",11129.7525473418
"Abaixo do peso","Não","Não","Sergipe","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",6667.74392851709
"Abaixo do peso","Não","Não","São Paulo","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",91015.3656197817
"Abaixo do peso","Não","Não","Roraima","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",15893.6705785092
"Sobrepeso","Sim","Sim","Maranhão","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",16626.2322556417
"Eutrofia","Não","Sim","Maranhão","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",5286.5276414575
"Abaixo do peso","Não","Não","Maranhão","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",42947.6751308287
"Eutrofia","Não","Sim","Ceará","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",22445.9149727198
"Abaixo do peso","Não","Não","Ceará","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",4761.25692270211
"Sobrepeso","Sim","Sim","Paraíba","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",14345.4813139796
"Abaixo do peso","Não","Não","Pernambuco","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",123953.62449729
"Abaixo do peso","Não","Não","Alagoas","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",14261.4512134727
"Eutrofia","Não","Sim","Bahia","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",159241.623822968
"Abaixo do peso","Não","Não","Bahia","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",119332.455899998
"Eutrofia","Não","Sim","Rio de Janeiro","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",7093.28911332157
"Eutrofia","Não","Sim","Goiás","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Sem instrução",5420.09214459035
"Abaixo do peso","Não","Não","Rondônia","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",12325.5812687727
"Abaixo do peso","Não","Não","Amapá","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",8709.11103661109
"Sobrepeso","Sim","Sim","Piauí","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",48247.7572265632
"Eutrofia","Não","Sim","Piauí","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",17266.4388566273
"Abaixo do peso","Não","Não","Piauí","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",4206.92609249615
"Eutrofia","Não","Sim","Ceará","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",12575.0579034633
"Abaixo do peso","Não","Não","Ceará","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",23751.5299962386
"Sobrepeso","Sim","Sim","Paraíba","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",4731.64719464749
"Abaixo do peso","Não","Não","Paraíba","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",38223.2854014642
"Eutrofia","Não","Sim","Pernambuco","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",6709.31595374219
"Eutrofia","Não","Sim","Alagoas","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",9777.83295056094
"Sobrepeso","Sim","Sim","Minas Gerais","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",14519.1395007627
"Eutrofia","Não","Sim","Espírito Santo","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",3440.1103845749
"Eutrofia","Não","Não","Espírito Santo","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",67593.4602263852
"Eutrofia","Não","Sim","Rio de Janeiro","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",19669.4938121594
"Eutrofia","Não","Sim","São Paulo","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",19746.4018187778
"Sobrepeso","Sim","Sim","Paraná","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",16360.5491928591
"Eutrofia","Não","Sim","Goiás","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Sem instrução",6317.65304750604
"Abaixo do peso","Não","Não","Maranhão","25 a 39 anos","1 até 2 SM","Urbano","Homem","Sem instrução",29626.3751527491
"Abaixo do peso","Não","Não","Paraná","25 a 39 anos","1 até 2 SM","Urbano","Homem","Sem instrução",18104.3864863585
"Eutrofia","Não","Sim","Santa Catarina","25 a 39 anos","1 até 2 SM","Urbano","Homem","Sem instrução",20811.1547954409
"Sobrepeso","Sim","Sim","Rio Grande do Norte","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",16259.5409869159
"Eutrofia","Não","Sim","Sergipe","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",5720.67648238057
"Abaixo do peso","Não","Não","Bahia","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",57275.7254096171
"Abaixo do peso","Não","Não","Rio de Janeiro","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",13755.0175204074
"Sobrepeso","Sim","Sim","São Paulo","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",95456.258736855
"Sobrepeso","Sim","Sim","Paraná","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",74771.4077911476
"Sobrepeso","Sim","Sim","Santa Catarina","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",4940.76573952534
"Abaixo do peso","Não","Não","Mato Grosso do Sul","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",9731.70213346971
